ID,MSZoning,Street,Alley,LotArea,LotShape,LandContour,Utilities,LandSlope,Neighborhood,Condition1,Condition2,HouseStyle,OverallQual,OverallCond,YearBuilt,YearRemodAdd,RoofStyle,RoofMatl,Exterior1st,Exterior2nd,ExterQual,ExterCond,Foundation,CentralAir,Electrical,1stFlrSF,2ndFlrSF,TotFlrSF,LowQualFinSF,GrLivArea,Bath,Bedroom,Kitchen,KitchenQual,TotRmsAbvGrd,Functional,GarageType,GarageFinish,GarageCars,GarageArea,GarageQual,GarageCond,Fence,MiscFeature,MiscVal,DaSold,MoSold,YrSold,SaleType,SaleCondition,SalePrice
1001,RM,Pave,Pave,200,Reg,Lvl,AllPub,Gtl,JKT,Feedr,Artery,2,9,8,2020,2020,Flat,Cly,AsphShn,Plywood,Gd,Gd,Stone,N,SBrkr,150,150,300,0,200,2,3,1,Gd,4,Typ,Attchd,Fin,1,15,Ex,Ex,GdPrv,NA,0,21,12,2021,New,Normal,1500000000
1002,RH,Pave,Pave,50,IR1,Lvl,NoSewr,Gtl,JKT,Feedr,Norm,1,7,7,2001,2015,Shed,Metal,BrkComm,Wd,Ex,Gd,BrkTil,N,FuseA,50,0,50,0,40,1,2,1,Po,3,Min1,NA,NA,0,0,NA,NA,MnWw,NA,0,8,11,2019,CWD,Normal,450000000
1003,C,Grvl,NA,250,Reg,Lvl,AllPub,Gtl,JKT,Artery,Feedr,4,8,8,2003,2003,Shed,Cly,BrkComm,Hdboard,Gd,Gd,Stone,Y,SBrkr,250,250,1000,0,920,4,0,0,NA,0,Typ,NA,NA,0,0,NA,NA,NA,NA,0,3,1,2015,VWD,Normal,3000000000
1004,I,Pave,Pave,500,Reg,Lvl,NoSewa,Gtl,JKT,Norm,Norm,1,2,4,2011,2011,Shed,Metal,Stone,Wd,Gd,Gd,BrkTil,Y,SBrkr,350,0,350,0,300,1,0,0,NA,0,Sal,NA,NA,0,0,NA,NA,NA,NA,0,10,10,2020,VWD,Normal,4000000000
1005,RM,Pave,Pave,55,Reg,Lvl,AllPub,Gtl,JKT,Feedr,Norm,1,6,8,2015,2018,Flat,Cly,AsphShn,Wd,Gd,Gd,BrkTil,N,SBrkr,55,0,55,0,51,1,1,1,Gd,3,Typ,Attchd,RFn,1,15,Ex,Ex,MnWw,NA,0,9,1,2020,CWD,Normal,550000000
1006,RP,Pave,Pave,150,Reg,Lvl,AllPub,Gtl,JKT,Feedr,Norm,1,6,8,2016,2016,Gable,Metal,AsphShn,BrkComm,TA,TA,BrkTil,N,SBrkr,100,0,100,20,100,1,2,1,Gd,3,Min1,NA,NA,0,0,Gd,Po,NA,NA,0,2,8,2021,CWD,Normal,950000000
1007,RL,Pave,Pave,60,Reg,Lvl,AllPub,Gtl,JKT,Feedr,Norm,1,8,9,2003,2003,Hip,Metal,AsphShn,AsphShn,Ex,Ex,BrkTil,N,SBrkr,40,0,40,0,38,1,1,1,Ex,2,Typ,Detchd,Fin,1,15,Gd,TA,GdPrv,NA,0,30,8,2015,CWD,Normal,575000000
1008,C,Pave,NA,300,Reg,Lvl,EOL,Gtl,JKT,Artery,Norm,3,8,9,2012,2012,Shed,Cly,AsphShn,Stone,Ex,Ex,BrkTil,Y,SBrkr,300,300,900,0,850,3,0,0,NA,0,Min1,NA,NA,0,0,NA,NA,NA,NA,0,7,8,2015,CWD,Abnorml,3500000000
1009,I,Pave,Grvl,50000,Reg,Lvl,EOL,Gtl,JKT,Artery,Norm,1,9,9,2017,2017,Shed,Metal,BrkComm,Hdboard,Ex,Ex,BrkTil,Y,FuseA,35000,0,35000,0,34500,1,0,0,NA,0,Typ,NA,NA,0,0,NA,NA,NA,NA,0,14,4,2019,CWD,Abnorml,45000000000
1010,RH,Pave,Pave,60,Reg,Lvl,AllPub,Gtl,JKT,Norm,Norm,1,9,4,1993,1993,Mansard,Metal,BrkComm,Hdboard,Po,Po,BrkTil,N,FuseA,60,0,60,0,58,1,1,1,TA,2,Min1,CarPort,RFn,1,20,Gd,Gd,GdPrv,NA,0,22,6,2000,CWD,Normal,450000000
1011,RH,Pave,Pave,48,Reg,Lvl,AllPub,Gtl,JKT,Norm,Norm,1,9,4,1990,1990,Gable,Metal,BrkComm,Plywood,Fa,Fa,BrkTil,N,Mix,48,0,48,0,46,1,1,1,Fa,2,Min1,Attchd,RFn,1,20,Ex,Ex,GdPrv,NA,0,21,4,2000,Con,Normal,400000000
1012,RH,Pave,Pave,36,Reg,Lvl,AllPub,Gtl,JKT,Norm,Norm,1,9,2,1990,1990,Gable,Cly,AsphShn,Wd,Po,Po,BrkTil,Y,SBrkr,36,0,36,0,34,1,1,1,Gd,2,Min1,Detchd,RFn,1,20,Ex,TA,GdPrv,NA,0,9,11,2010,Con,Normal,350000000
1013,RH,Pave,Pave,48,Reg,Lvl,AllPub,Gtl,JKT,Norm,Norm,2,9,2,2003,2003,Gable,Cly,AsphShn,Wd,Po,Po,Stone,Y,SBrkr,48,48,96,0,90,2,2,1,Gd,3,Min1,BuiltIn,RFn,1,20,Ex,Gd,GdPrv,NA,0,22,5,2008,Con,Normal,450000000
1014,RM,Pave,Pave,50,Reg,Lvl,AllPub,Gtl,JKT,Feedr,Norm,1,9,4,1998,1998,Shed,Cly,AsphShn,Wd,Po,Po,Stone,Y,SBrkr,50,0,50,0,45,1,1,1,TA,2,Typ,Attchd,Fin,1,20,Ex,Gd,GdPrv,NA,0,1,2,2007,Con,Normal,475000000
1015,RM,Pave,Pave,65,Reg,Lvl,AllPub,Gtl,JKT,Feedr,Norm,1,10,8,2000,2000,Shed,Cly,AsphShn,Plywood,Ex,Ex,Stone,Y,FuseA,65,0,65,0,60,1,2,1,Fa,3,Typ,Attchd,Fin,1,20,Gd,Gd,GdPrv,NA,0,23,8,2005,Oth,Normal,495000000
1016,C,Pave,NA,200,Reg,Lvl,NoSewr,Gtl,JKT,Artery,Norm,2,2,1,2017,2017,Mansard,Cly,AsphShn,Plywood,Po,Po,Stone,Y,FuseA,150,150,300,40,250,2,0,0,NA,0,Sal,NA,NA,0,0,NA,NA,NA,NA,0,27,10,2019,Oth,Normal,2000000000
1017,C,Pave,NA,150,Reg,Lvl,EOL,Gtl,JKT,Artery,Norm,2,1,1,1993,1993,Shed,Metal,AsphShn,Stone,Po,Po,Stone,N,FuseA,150,150,300,40,250,2,0,0,NA,0,Sal,NA,NA,0,0,NA,NA,NA,NA,0,7,4,2000,CWD,Normal,850000000
1018,I,Grvl,Grvl,40000,Reg,Lvl,AllPub,Gtl,JKT,Norm,Norm,1,10,8,2014,2014,Shed,Metal,AsphShn,Stone,Ex,Ex,Stone,Y,FuseA,30000,0,30000,100,29500,3,0,0,NA,0,Typ,NA,NA,0,0,NA,NA,NA,NA,0,14,9,2016,CWD,Normal,35000000000
1019,I,Grvl,Grvl,10000,Reg,Lvl,AllPub,Gtl,JKT,Norm,Norm,1,8,8,2011,2011,Shed,Metal,AsphShn,Stone,Gd,Gd,Stone,Y,FuseA,7000,0,7000,100,6500,3,0,0,NA,0,Min1,NA,NA,0,0,NA,NA,NA,NA,0,5,6,2012,CWD,Normal,15000000000
1020,RP,Pave,Pave,72,IR1,Lvl,AllPub,Gtl,JKT,Feedr,Norm,1,4,6,2000,2000,Gable,Metal,BrkComm,AsphShn,Gd,Gd,Stone,Y,FuseA,72,0,72,0,70,1,2,1,Ex,3,Maj1,NA,NA,0,0,Gd,Po,NA,NA,0,5,10,2010,CWD,Normal,650000000
1021,RP,Pave,Pave,72,IR1,Lvl,AllPub,Gtl,JKT,Feedr,Norm,1,5,3,1990,1990,Gable,Metal,BrkComm,AsphShn,Po,Po,Stone,Y,FuseA,60,0,60,0,58,1,2,1,Ex,3,Sev,NA,NA,0,0,Gd,Po,NA,NA,0,8,8,2000,Con,Normal,550000000
1022,RP,Pave,Pave,90,IR1,Lvl,AllPub,Gtl,JKT,Feedr,Norm,1,9,8,1991,1991,Gable,Cly,BrkComm,AsphShn,Gd,Gd,BrkTil,Y,FuseA,60,0,60,0,58,1,2,1,Ex,3,Min1,NA,NA,0,0,Gd,TA,NA,NA,0,3,9,2019,VWD,Normal,1200000000
1023,C,Pave,NA,100,Reg,Lvl,NoSewr,Gtl,JKT,Artery,Feedr,3,6,4,2017,2017,Gable,Cly,BrkComm,AsphShn,Ex,Ex,BrkTil,Y,FuseA,100,100,300,0,280,2,0,0,NA,0,Sal,NA,NA,0,0,NA,NA,NA,NA,0,6,6,2020,CWD,Family,925000000
1024,C,Pave,NA,150,Reg,Lvl,NoSewr,Gtl,JKT,Artery,Feedr,3,7,5,2014,2014,Gable,Cly,BrkComm,Plywood,Ex,Ex,BrkTil,Y,SBrkr,150,150,450,0,430,3,0,0,NA,0,Min1,NA,NA,0,0,NA,NA,NA,NA,0,30,4,2021,COD,AdjLand,4500000000
1025,C,Pave,NA,200,Reg,Lvl,AllPub,Gtl,JKT,Artery,Feedr,3,8,8,1997,1997,Flat,Cly,BrkComm,Plywood,Ex,Ex,BrkTil,Y,SBrkr,200,200,600,0,550,3,0,0,NA,0,Typ,NA,NA,0,0,NA,NA,NA,NA,0,14,2,2006,Oth,AdjLand,1500000000
1026,C,Pave,NA,200,Reg,Lvl,AllPub,Gtl,JKT,Artery,Feedr,3,8,8,1992,1992,Flat,Cly,BrkComm,Plywood,Ex,Ex,BrkTil,Y,SBrkr,200,200,600,0,580,3,0,0,NA,0,Typ,NA,NA,0,0,NA,NA,NA,NA,0,4,8,2008,CWD,Normal,1750000000
1027,C,Pave,NA,300,Reg,Lvl,AllPub,Gtl,JKT,Artery,Feedr,3,8,9,2020,2020,Gable,Metal,BrkComm,Plywood,Ex,Ex,BrkTil,Y,SBrkr,300,300,900,0,870,3,0,0,NA,0,Typ,NA,NA,0,0,NA,NA,NA,NA,0,14,1,2021,CWD,Normal,4500000000
1028,C,Pave,NA,300,Reg,Lvl,AllPub,Gtl,JKT,Artery,Feedr,4,9,10,1990,1990,Gable,Metal,BrkComm,Plywood,Ex,Ex,BrkTil,Y,SBrkr,300,300,1200,0,1120,4,0,0,NA,0,Typ,NA,NA,0,0,NA,NA,NA,NA,0,4,6,2000,CWD,Abnorml,1000000000
1029,C,Pave,NA,200,Reg,Lvl,AllPub,Gtl,JKT,Norm,Norm,4,8,6,2015,2015,Shed,Metal,BrkComm,Wd,Gd,Gd,BrkTil,N,Mix,200,200,800,0,780,4,0,0,NA,0,Maj1,NA,NA,0,0,NA,NA,NA,NA,0,11,1,2016,VWD,Abnorml,1500000000
1030,C,Pave,NA,120,Reg,Lvl,AllPub,Gtl,JKT,Norm,Norm,4,10,10,2020,2020,Shed,Metal,BrkComm,Wd,Ex,Ex,BrkTil,N,Mix,120,120,480,0,460,4,0,0,NA,0,Typ,NA,NA,0,0,NA,NA,NA,NA,0,11,8,2021,VWD,Normal,1500000000
1031,RP,Pave,Pave,60,Reg,Lvl,NoSewr,Gtl,JKT,Norm,Norm,2.5,1,1,2015,2015,Mansard,Metal,AsphShn,Wd,Po,Po,BrkTil,N,Mix,60,60,150,20,130,2,3,1,Gd,4,Sal,Attchd,Fin,2,40,Gd,Gd,MnWw,NA,0,1,11,2019,CWD,Partial,500000000
1032,RP,Pave,Pave,72,Reg,Lvl,NoSewr,Gtl,JKT,Feedr,Norm,3,1,3,2002,2002,Mansard,Metal,AsphShn,Wd,Po,Po,Stone,N,Mix,72,72,216,0,210,3,4,2,Po,6,Sal,BuiltIn,Fin,2,40,Gd,Gd,MnWw,NA,0,29,7,2005,CWD,Partial,600000000
1033,RH,Grvl,Grvl,72,Reg,Lvl,NoSewa,Gtl,JKT,Feedr,Norm,1.5,3,5,2011,2011,Hip,Metal,AsphShn,Wd,Po,Po,Stone,N,Mix,72,48,120,0,115,1,3,1,Po,4,Sev,BuiltIn,Fin,1,20,Gd,Gd,MnWw,NA,0,7,5,2012,CWD,Alloca,500000000
1034,RH,Grvl,Grvl,48,Reg,Lvl,AllPub,Gtl,JKT,Feedr,Norm,2,7,8,1993,1993,Hip,Metal,AsphShn,BrkComm,Gd,Gd,Stone,N,Mix,48,48,96,0,90,2,3,1,Po,4,Min1,Attchd,Fin,1,20,Gd,Gd,MnWw,NA,0,9,12,2005,CWD,Alloca,150000000
1035,RH,Grvl,Grvl,55,Reg,Lvl,AllPub,Gtl,JKT,Feedr,Norm,2,7,6,1997,1997,Hip,Metal,AsphShn,BrkComm,Gd,Gd,Stone,N,SBrkr,55,55,110,0,100,2,3,1,Po,4,Maj1,Attchd,Fin,1,20,Gd,Gd,MnWw,NA,0,20,4,2008,CWD,Normal,200000000
